Q,Date,Area of residence,Mode of transport to enter Canada,Visit statistics
592,1/1/2024,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
738,1/1/2025,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1293,4/1/2019,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,4/1/2020,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,4/1/2021,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,4/1/2022,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1102,4/1/2023,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1165,4/1/2024,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1085,4/1/2025,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1193,7/1/2019,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,7/1/2020,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,7/1/2021,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,7/1/2022,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1861,7/1/2023,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1174,7/1/2024,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1277,7/1/2025,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
711,10/1/2019,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,10/1/2020,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,10/1/2021,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
,10/1/2022,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1757,10/1/2023,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
1605,10/1/2024,Residents of countries other than the United States of America,Entries via commercial air,Expenditures per visit 4 6
